	H1650	H23	CAL-12T	H358	H1975	HCC15	H1355	HCC827	H2405	HCC78	H1666	H661	H838	H1703	CALU-3	H2342	H2228	H1299	H1792	H460	H2106	H441	H1944	H1437	H1734	LOU-NH91	HCC44	A549	H1781
ZNF677	1.888043396	-0.844339823	-0.545891994	3.522214369	5.575037564	0.005338169	-0.687836	1.186525947	-0.667838913	-0.590407531	-0.754131734	1.379774298	-0.297963834	3.427471389	-0.55292297	2.813803938	0.820840772	2.561986215	-0.543604255	-0.999117356	-0.379043964	-0.55888381	-0.121761914	-0.774500866	-0.500103387	2.580064902	-0.656689736	-0.774848559	1.71748168
ZSCAN22	0.377385535	-0.491041775	-0.359258079	-0.305690982	1.642912682	-0.116670915	0.219182116	0.862886709	-0.496206909	-1.048904933	-0.247271282	-0.921398875	-0.440471171	-0.336641231	-0.499845168	-0.898374065	-1.232948339	0.312619758	-0.41102394	-1.302798135	0.1184107	-0.639022283	-0.553526781	-0.21156386	-0.314694777	-0.976657465	2.384778688	0.150284232	-1.298091063
SP110	1.210360096	-0.90369046	-0.106063655	0.731699342	0.862099547	-0.637874497	-0.09352855	0.618019051	-0.026081906	0.969647943	0.897830854	-1.580634014	-0.838445419	-0.564053203	0.887088278	-0.643018569	0.452791364	-0.236351301	-0.07660116	0.377511015	-2.116045035	0.559099941	-0.73919356	-0.885323335	0.256653887	0.595997149	0.015396583	-0.743606005	-0.003238498
ZNF879	0.015476781	0.345184554	-0.203690003	1.31909905	1.625640537	-0.444811855	0.954932689	0.168893211	-0.241798198	-1.022087843	-1.340468222	1.131797207	-1.145040899	1.696514378	-0.521555694	-0.386294784	0.287408677	0.490089488	-1.418954982	-0.590455855	1.920108119	0.91254216	-0.482657389	-1.135289472	-1.364668138	2.016494119	-0.962975265	-0.118136914	0.919333067
ZNF391	-0.475063653	2.173255019	-0.394327251	0.491902026	0.463547165	-0.99352954	0.230155307	-0.024236144	0.689193163	-1.103003478	-1.086390126	1.175701771	0.278480499	2.797903842	0.063892474	0.270871874	0.162216068	1.267134585	0.70563761	-0.23183838	-1.076063193	0.023965008	0.110834759	0.218785916	-0.532129658	0.948005165	-0.288907024	-1.110477506	-1.10726568
ZFP57	-0.216404919	0.093615087	-0.069198322	-0.157236651	-0.266075597	-0.474913741	-0.409980893	-0.259173096	5.23797608	-0.02367906	-0.00433803	0.070553139	-0.367661355	-0.1867053	0.022236841	-0.448699232	-0.350400265	-0.17319415	-0.393521548	-0.27555263	-0.013517582	-0.400495396	-0.564614814	-0.310164295	-0.327183531	-0.715175921	0.439141616	-0.107316864	0.131606656
RBPJ	-0.992055325	0.325247261	-2.385288427	1.540938866	-0.187012671	-0.20177733	-0.584183574	1.333684472	-1.068734273	0.312302687	-0.526238955	-1.251150775	-0.102284552	-1.290736066	-0.942740422	-0.151191505	-0.29494688	-0.214768975	0.12448869	-0.831542611	1.085384012	0.862690273	-1.04861919	-0.892593927	-0.488629084	-0.701908588	-0.982327282	-1.840452103	0.706162918
ZNF445	0.290473708	-0.592687802	-1.113607843	-0.252396635	-0.636254028	-1.545020269	-0.577368971	0.274550841	-0.856361088	-0.604119217	-2.061746562	-0.419255606	0.657679073	0.001387689	0.423730919	-0.960715089	-0.997889301	-0.834009532	-0.449530843	-0.696631921	0.792813116	-0.381261628	-0.606175103	-1.087446534	-0.106590539	-1.122277943	0.418175929	-1.292187304	-0.61841334
ZNF233	0.908142555	-0.382160642	-0.104687139	0.072730771	-0.372120884	-0.031550801	2.057402809	-0.60826505	1.019097313	-0.926112991	-0.862654438	-0.972803084	-0.163519987	-0.382782436	1.488305541	0.917818119	-0.041619428	-0.550662466	0.639152103	-0.65635418	2.870714245	0.150743754	1.74458474	-1.023079598	-0.787492826	0.256526516	-0.741329038	-0.036451873	-0.905358385
FOXK2	0.201383158	-0.553508937	-0.472784848	1.605712206	-2.652233881	-1.329135864	0.31188858	0.356269803	0.272578676	0.430455315	0.132464092	0.037974171	-1.575623825	1.182573584	0.060501468	-1.401412218	-0.508115745	0.217195882	0.832040348	-0.17162955	0.553691643	1.069296249	0.054297661	1.422170977	-0.742255395	0.725043339	-0.11558869	0.119394586	1.516171174
INSM1	-0.43094199	-0.468889099	-0.267044311	-0.354754245	-0.419574413	-0.279250126	-0.40160227	-0.399169861	-0.295999641	-0.245240161	-0.333486719	-0.219014097	-0.279722526	-0.266830233	-0.443295281	-0.422371707	-0.279416156	-0.279222058	-0.421542509	-0.376619289	3.60415551	-0.34170734	-0.306377699	-0.481219079	0.082499536	-0.253977425	-0.384503569	-0.274824406	-0.31903403
IRF6	0.60093846	-0.738301284	0.982239803	0.048533147	0.765962394	-0.273528073	-0.599771958	0.878611977	-0.682322849	1.369324966	2.818388685	-0.720815239	-0.806440454	-0.83035883	0.847349527	-0.052684039	-0.751096016	-0.70381937	-0.790236916	-0.702167415	1.29389648	0.637530839	-0.357825919	0.399699512	-0.408769323	-0.427514126	-0.692028082	-0.71042257	0.800456183
